island shipper


range moss

	play $0
	reward $1,000

	round
		wait 1200
		rock-black 4 b4
		wait 2500
		wait
		pineapple 5 a5
		sfx-play Windmill_YokoKanno -35.0

		rock 2 b2
		wait 500
		rock 7 b7
		wait 700
		rock 4 b4
		wait 1500

		rock-black 4 b4
		wait



		# Black rocks 2  -

		balloon c2
		balloon c4
		balloon c6

		wait 1500
		rock-black 4 b4
		wait 1000
		rock 4 a4
		wait

		rock-black 2 b2
		wait 1000
		rock 2 a2
		wait


		rock-black 6 b6
		wait 1000
		rock 6 b6
		wait

		wait 2000

		rock-black 3 b3
		wait 1000
		rock-black 5 b5
		wait 1200
		rock-black 7 b7
		wait 2200

		rock-black 2 b2
		wait 0
		rock-black 6 b6
		wait 1000
		rock 2 a2
		wait 0
		rock 6 b6
		wait

		clear

		#Link
		# NA

		#1
		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 5 a5
		wait 0
		rock 8 a8
		wait

		rock 5 a5
		wait 0
		rock 8 a8
		wait

		rock 5 a5
		wait 0
		rock 2 a2
		wait

		rock 5 a5
		wait 0
		rock 2 a2
		wait


		rock 5 b5
		wait 0
		rock 2 b2
		wait

		rock 5 b5
		wait 0
		rock 2 b2
		wait


		rock 5 a5
		wait 0
		rock 2 a2
		wait

		rock 3 b3
		wait 0
		rock 6 b6
		wait

		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 5 a5
		wait 0
		rock 8 a8
		wait

		rock 5 b5
		wait 0
		rock 8 b8
		wait

		rock 5 c5
		wait 0
		rock 8 c8
		wait

		wait 1500
		ammo
		balloon-mult
		balloon-bank
		balloon-check
		clear ammo

		# Sparse pairs 2 - Adding balloon wall


		balloon a4
		wait 500
		balloon b4
		wait 500
		balloon c4
		wait 2400


		#1
		rock 3 a3
		wait 0
		rock 5 a5
		wait

		rock 3 a3
		wait 0
		rock 5 a5
		wait

		rock 3 b3
		wait 0
		rock 5 b5
		wait

		rock 3 b3
		wait 0
		rock 5 b5
		wait

		rock 5 b5
		wait 0
		rock 3 b3
		wait

		rock 5 a5
		wait 0
		rock 3 a3
		wait


		rock 5 c5
		wait 0
		rock 3 c3
		wait

		rock 5 a5
		wait 0
		rock 3 a3
		wait

		rock 5 c5
		wait 0
		rock 3 c3
		wait

		rock 5 a5
		wait 0
		rock 3 a3
		wait

		# extending out pattern
		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 2 a2
		wait 0
		rock 5 a5
		wait

		rock 5 b5
		wait 0
		rock 2 b2
		wait

		rock 3 b3
		wait 0
		rock 6 b6
		wait

		rock 3 c3
		wait 0
		rock 6 c6
		wait

		rock 2 c2
		wait 0
		rock 5 c5
		wait

		wait 2500
		ammo c3

		# Sparse pairs 3 - Adding balloon walls 2

		#Link
		balloon a4
		wait 500
		balloon b4
		wait 500
		balloon c4
		wait 2400

		#1
		rock 3 a3
		wait 0
		rock 5 a5
		wait

		rock 3 b3
		wait 0
		rock 5 b5
		wait

		rock 3 c3
		wait 0
		rock 5 c5
		wait


		# new balloon wall
		balloon a6
		wait 500
		balloon b6
		wait 500
		balloon c6

		wait 2200

		rock 3 a3
		wait 0
		rock 5 a5
		wait

		rock 3 b3
		wait 0
		rock 5 b5
		wait

		rock 7 b7
		wait 0
		rock 5 b5
		wait

		rock 7 a7
		wait 0
		rock 5 a5
		wait

		#3

		rock 5 b5
		wait 0
		rock 3 b3
		wait 1000

		rock 5 b5
		wait 0
		rock 7 b7
		wait 1000

		rock 5 a5
		wait 0
		rock 3 a3
		wait 1000

		rock 5 a5
		wait 0
		rock 7 a7
		wait 1000

		wait 3000

		rock 5 b5
		wait 0
		rock 3 b3
		wait 500

		rock 5 b5
		wait 0
		rock 7 b7
		wait 500

		rock 5 a5
		wait 0
		rock 3 a3
		wait 500

		rock 5 a5
		wait 0
		rock 7 a7
		wait 1000

		wait 2000

		rock 3 c3
		wait 0
		rock 5 c5
		wait 1000

		rock 7 c7
		wait 0
		rock 5 c5
		wait 1000


		rock 3 c3
		wait 0
		rock 5 c5
		wait 1000

		rock 7 c7
		wait 0
		rock 5 c5
		wait 1000

		wait 1000

		clear
		wait 2500
		ammo c3
	round
		#hold out 60000
		rock 4 a4
		wait 3000
		rock 1 a4
		wait 2500

		rock 4 a1
		wait 1500
		rock 4 a8
		wait 1500

		rock
		rock
		wait 3000
		rock
		rock
		wait 3000

		rock
		rock
		wait 1500
		rock
		rock

		wait 3000

		rock 1 a1
		wait 0
		rock 2 a2
		wait 0
		rock 3 a3

		wait 3000

		smokecan 1 a1
		rock 8 a8

		wait 3000
		rock
		wait 4000

		rock 1 a1
		smokecan 8 a8

		wait 3000
		smokecan 1 a1
		rock 8 a8
		wait 0
		rock 4 a8
		wait 3000

		rock
		wait 3000


		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		smokecan 1 a8
		wait 2000

		rock-black 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-black 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		smokecan 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		smokecan 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-black 1 a7
		wait until clear
range moss3
	play $0
	reward $1,000
	hold out 90000
	round
		#difficulty-expert
		rock 4 a4
		wait 3000
		rock 1 a4
		wait 2500

		rock 4 a1
		wait 1500
		rock 4 a8
		wait 1500

		rock
		rock
		wait 3000
		rock
		rock
		wait 3000

		rock
		rock
		wait 1500
		rock
		rock

		wait 3000

		rock 1 a1
		wait 0
		rock 2 a2
		wait 0
		rock 3 a3

		wait 3000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock
		wait 4000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock-avoider 1 a1
		rock-avoider 8 a8
		rock
		wait 3000

		rock
		wait 3000


		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000

		rock-avoider 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-avoider 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-avoider 1 a7


		smokecan
		smokecan

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		rock
		rock

		smokecan
		wait 3000
		smokecan
		smokecan
		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		wait 4000

		rock

		wait 4000

		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider

		wait until clear
range redd
	play $0
	reward $1,000
	hold out 60000
	round
		difficulty-hard
		rock 4 a4
		wait 3000
		rock 1 a4
		wait 2500
		
		rock 4 a1
		wait 1500
		rock 4 a8
		wait 1500
		
		rock
		rock
		wait 3000
		rock
		rock
		wait 3000
		
		rock
		rock
		wait 1500
		rock
		rock
		
		wait 3000
		
		rock 1 a1
		wait 0
		rock 2 a2
		wait 0
		rock 3 a3
		
		wait 3000
		
		smokecan 1 a1
		rock 8 a8
		
		wait 3000
		rock
		wait 4000
		
		rock 1 a1
		smokecan 8 a8
		
		wait 3000
		smokecan 1 a1
		rock 8 a8
		wait 0
		rock 4 a8
		wait 3000
		
		rock
		wait 3000
		
		
		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		smokecan 1 a8
		wait 2000
		
		rock-black 1 a7
		
		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-black 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		
		smokecan 1 a7
		
		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		smokecan 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		
		rock-black 1 a7
		wait until clear
