island shipper

range moss

	round
		wait 750
		rock-black 4 b4
		wait

		wait 1000
		balloon-check
		balloon-multi a3
	round
		#hold out 60000
		# first half is sideways rocks - Then black rocks, then balloon walls again, Add some oranges too
		# Black rocks 1  - Keep these low
		pace-slow
		rock-black 2 b2
		wait 1000
		rock-black 7 b7
		wait 1200
		rock-black 4 b4
		wait 2500
		wait
		pineapple 5 a5
		sfx-play Windmill_YokoKanno -35.0

		rock 2 b2
		wait 500
		rock 7 b7
		wait 700
		rock 4 b4
		wait 1500

		rock-black 4 b4
		wait



		# Black rocks 2  -

		balloon c2
		balloon c4
		balloon c6

		wait 1500
		rock-black 4 b4
		wait 1000
		rock 4 a4
		wait

		rock-black 2 b2
		wait 1000
		rock 2 a2
		wait


		rock-black 6 b6
		wait 1000
		rock 6 b6
		wait

		wait 2000

		rock-black 3 b3
		wait 1000
		rock-black 5 b5
		wait 1200
		rock-black 7 b7
		wait 2200

		rock-black 2 b2
		wait 0
		rock-black 6 b6
		wait 1000
		rock 2 a2
		wait 0
		rock 6 b6
		wait

		clear

		#Link
		# NA

		#1
		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 5 a5
		wait 0
		rock 8 a8
		wait

		rock 5 a5
		wait 0
		rock 8 a8
		wait

		rock 5 a5
		wait 0
		rock 2 a2
		wait

		rock 5 a5
		wait 0
		rock 2 a2
		wait


		rock 5 b5
		wait 0
		rock 2 b2
		wait

		rock 5 b5
		wait 0
		rock 2 b2
		wait


		rock 5 a5
		wait 0
		rock 2 a2
		wait

		rock 3 b3
		wait 0
		rock 6 b6
		wait

		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 5 a5
		wait 0
		rock 8 a8
		wait

		rock 5 b5
		wait 0
		rock 8 b8
		wait

		rock 5 c5
		wait 0
		rock 8 c8
		wait

		wait 1500
		ammo
		balloon-mult
		balloon-bank
		balloon-check
		clear ammo

		# Sparse pairs 2 - Adding balloon wall


		balloon a4
		wait 500
		balloon b4
		wait 500
		balloon c4
		wait 2400


		#1
		rock 3 a3
		wait 0
		rock 5 a5
		wait

		rock 3 a3
		wait 0
		rock 5 a5
		wait

		rock 3 b3
		wait 0
		rock 5 b5
		wait

		rock 3 b3
		wait 0
		rock 5 b5
		wait

		rock 5 b5
		wait 0
		rock 3 b3
		wait

		rock 5 a5
		wait 0
		rock 3 a3
		wait


		rock 5 c5
		wait 0
		rock 3 c3
		wait

		rock 5 a5
		wait 0
		rock 3 a3
		wait

		rock 5 c5
		wait 0
		rock 3 c3
		wait

		rock 5 a5
		wait 0
		rock 3 a3
		wait

		# extending out pattern
		rock 3 a3
		wait 0
		rock 6 a6
		wait

		rock 2 a2
		wait 0
		rock 5 a5
		wait

		rock 5 b5
		wait 0
		rock 2 b2
		wait

		rock 3 b3
		wait 0
		rock 6 b6
		wait

		rock 3 c3
		wait 0
		rock 6 c6
		wait

		rock 2 c2
		wait 0
		rock 5 c5
		wait

		wait 2500
		ammo c3

		# Sparse pairs 3 - Adding balloon walls 2

		#Link
		balloon a4
		wait 500
		balloon b4
		wait 500
		balloon c4
		wait 2400

		#1
		rock 3 a3
		wait 0
		rock 5 a5
		wait

		rock 3 b3
		wait 0
		rock 5 b5
		wait

		rock 3 c3
		wait 0
		rock 5 c5
		wait


		# new balloon wall
		balloon a6
		wait 500
		balloon b6
		wait 500
		balloon c6

		wait 2200

		rock 3 a3
		wait 0
		rock 5 a5
		wait

		rock 3 b3
		wait 0
		rock 5 b5
		wait

		rock 7 b7
		wait 0
		rock 5 b5
		wait

		rock 7 a7
		wait 0
		rock 5 a5
		wait

		#3

		rock 5 b5
		wait 0
		rock 3 b3
		wait 1000

		rock 5 b5
		wait 0
		rock 7 b7
		wait 1000

		rock 5 a5
		wait 0
		rock 3 a3
		wait 1000

		rock 5 a5
		wait 0
		rock 7 a7
		wait 1000

		wait 3000

		rock 5 b5
		wait 0
		rock 3 b3
		wait 500

		rock 5 b5
		wait 0
		rock 7 b7
		wait 500

		rock 5 a5
		wait 0
		rock 3 a3
		wait 500

		rock 5 a5
		wait 0
		rock 7 a7
		wait 1000

		wait 2000

		rock 3 c3
		wait 0
		rock 5 c5
		wait 1000

		rock 7 c7
		wait 0
		rock 5 c5
		wait 1000


		rock 3 c3
		wait 0
		rock 5 c5
		wait 1000

		rock 7 c7
		wait 0
		rock 5 c5
		wait 1000

		wait 1000

		clear
		wait 2500
		ammo c3
	round
		#hold out 60000
		rock 4 a4
		wait 3000
		rock 1 a4
		wait 2500

		rock 4 a1
		wait 1500
		rock 4 a8
		wait 1500

		rock
		rock
		wait 3000
		rock
		rock
		wait 3000

		rock
		rock
		wait 1500
		rock
		rock

		wait 3000

		rock 1 a1
		wait 0
		rock 2 a2
		wait 0
		rock 3 a3

		wait 3000

		smokecan 1 a1
		rock 8 a8

		wait 3000
		rock
		wait 4000

		rock 1 a1
		smokecan 8 a8

		wait 3000
		smokecan 1 a1
		rock 8 a8
		wait 0
		rock 4 a8
		wait 3000

		rock
		wait 3000


		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		smokecan 1 a8
		wait 2000

		rock-black 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-black 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		smokecan 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		smokecan 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-black 1 a7
		wait until clear
range moss3
	hold out 90000
	round
		#difficulty-expert
		rock 4 a4
		wait 3000
		rock 1 a4
		wait 2500

		rock 4 a1
		wait 1500
		rock 4 a8
		wait 1500

		rock
		rock
		wait 3000
		rock
		rock
		wait 3000

		rock
		rock
		wait 1500
		rock
		rock

		wait 3000

		rock 1 a1
		wait 0
		rock 2 a2
		wait 0
		rock 3 a3

		wait 3000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock
		wait 4000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock-avoider 1 a1
		rock-avoider 8 a8
		rock
		wait 3000

		rock
		wait 3000


		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000

		rock-avoider 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-avoider 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-avoider 1 a7


		smokecan
		smokecan

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		rock
		rock

		smokecan
		wait 3000
		smokecan
		smokecan
		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		wait 4000

		rock

		wait 4000

		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider

		wait until clear
range redd
	hold out 60000
	round
		difficulty-hard
		rock 4 a4
		wait 3000
		rock 1 a4
		wait 2500
		
		rock 4 a1
		wait 1500
		rock 4 a8
		wait 1500
		
		rock
		rock
		wait 3000
		rock
		rock
		wait 3000
		
		rock
		rock
		wait 1500
		rock
		rock
		
		wait 3000
		
		rock 1 a1
		wait 0
		rock 2 a2
		wait 0
		rock 3 a3
		
		wait 3000
		
		smokecan 1 a1
		rock 8 a8
		
		wait 3000
		rock
		wait 4000
		
		rock 1 a1
		smokecan 8 a8
		
		wait 3000
		smokecan 1 a1
		rock 8 a8
		wait 0
		rock 4 a8
		wait 3000
		
		rock
		wait 3000
		
		
		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		smokecan 1 a8
		wait 2000
		
		rock-black 1 a7
		
		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-black 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		
		smokecan 1 a7
		
		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		smokecan 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		
		rock-black 1 a7
		wait until clear
range glory
	# Round 1
	round
		rock 3 a3
		wait 1000
		rock 8 a8
		wait 1000
		rock
		wait 0
		rock
		wait 0
		rock
		wait 1000
		rock 4 a4
		wait 200
		rock 4 a4
		wait until clear
		balloon-mult
		balloon-bank
		balloon-check
	round
		rock 1 a8
		wait 1000
		rock 8 a1
		wait 2000
		rock 8 a4
		wait 0
		rock 1 a4
		wait 2000
		rock-black
		wait 2000
		rock 4 a4
		rock 4 a4
		wait 200
		rock 4 a4
		rock 4 a4

		wait until clear
		balloon-mult
		balloon-bank
		balloon-check
	round
		balloon c3
		balloon c6
		rock
		rock
		rock
		rock
		rock
		rock
		rock
		rock
		wait until clear
		balloon-mult
		balloon-bank
		balloon-check
	round
		rock 1 A4
		wait 300
		rock 1 A6
		wait 300
		rock 1 A8
		wait 2500
		rock 8 A5
		wait 300
		rock 8 A3
		wait 300
		rock 8 A1
		wait 2000
		rock 4 a4
		rock 4 b4

		wait until clear
		balloon-mult
		balloon-bank
		balloon-check
	round
		rock 2
		rock 4
		wait 200
		rock-black 5
		wait 200
		rock 7
		rock 8

		wait until clear
		balloon-mult
		balloon-bank
		balloon-check
	round
		rock
		wait 5000
		rock
		wait 5000
		rock
		wait 0
		rock
		wait 0
		rock
		wait 0
		rock
		wait 6000
		rock 1 a8

		wait until clear
		balloon-mult
		balloon-bank
		balloon-check
	round
		rock 2 c3
		wait 2000
		rock 2 c4
		wait 2000
		rock-black
		rock-black
		wait 2000
		rock 6 c6
		wait 2000
		rock 6 c4

		wait until clear
		balloon-mult
		balloon-bank
		balloon-check
	round
		rock 1 b3
		wait 2000
		rock 2 b4
		wait 2000
		rock 1 b3
		wait 2000
		rock 2 b4
		rock-black 3 a3
		rock-black 5 a5
		wait 2000
		smokecan
		smokecan
		smokecan
		wait 2000

		rock 2 c6

		wait until clear
		balloon-mult
		balloon-bank
		balloon-check
	round
		rock 1 b3
		wait 2000
		smokecan
		smokecan
		smokecan
		wait 3000
		rock 1 b3
		wait 2000
		rock 2 b4
		rock-black 3 a3
		rock-black 5 a5
		wait 2000
		rock 2 a3

		wait until clear
		balloon-mult
		balloon-bank
		balloon-check
	round
		rock 1 a8
		wait 2000
		smokecan 1 a8

		wait 3000

		rock 8 a1
		smokecan 8 a1
		wait 2000
		smokecan
		wait 2000
		smokecan
		wait 1000
		rock 3 a5
		wait 0
		rock 6 a5

		wait until clear
		balloon-mult
		balloon-bank
		balloon-check
	round
		rock ? a4
		rock ? a4
		rock ? a4
		rock ? a4
		rock ? a4
		rock ? a4
		rock ? a4
		rock ? a4

		wait until clear
		balloon-mult
		balloon-bank
		balloon-check
	round
		balloon A1
		balloon A2
		balloon A7
		balloon A8
		
		rock 1 A8
		wait 90
		rock 8 A1
		wait 90
		rock-black 3
		wait 80
		rock 2 B7
		wait 80
		rock 7 B2
		wait 80
		rock-black 6
		wait 3000
		
		rock 4 A6
		wait 70
		rock 5 A3

		wait 3000
		
		wait 3000
		
		rock 3 	
		wait until clear
range noir
	round
		hold out 90000
		#difficulty-hard
		balloon a3
		balloon b3
		balloon c3
		balloon a2
		#gap in the middle
		balloon c2
		balloon a1
		balloon b1
		balloon c1
		balloon a8
		balloon b8
		balloon c8
		balloon a7
		#gap in the middle
		balloon c7
		balloon a6
		balloon b6
		balloon c6

		rock 4 a4
		rock 4 a4
		wait
		rock 5 a5
		rock 5 a5
		wait
		rock 4 b5
		rock 4 b5
		wait
		rock 5 b4
		rock 5 b4
		wait 5000

		pineapple b0 b5

		wait 4000
		rock 2 b2
		rock 2 b2
		wait
		rock 7 b7
		rock 7 b7
		wait


		#round
		balloon A1
		balloon A3
		rock 2
		wait 0
		rock 7
		wait 1200
		rock 3
		wait 0
		rock 6
		repeat 3

		#round
		rock 6
		wait 0
		rock 7
		wait 1100
		rock 5
		wait 0
		rock 8

		#round
		balloon A2
		rock 2
		wait 0
		rock 4
		wait 1000
		rock-black 5
		wait 0
		rock 7


		#round
		balloon A2
		rock 3
		wait 0
		rock 4
		wait 900
		rock 5
		wait 0
		rock 6
		wait 900
		rock-black 3
		wait 0
		rock 8


		#round
		rock 1
		wait 0
		rock 2
		wait 800
		rock 7
		wait 0
		rock 8
		wait 800
		rock 3
		wait 0
		rock 6
		repeat 3

		#round
		rock-black 8
		wait 0
		rock 7
		wait 750
		rock 8
		wait 0
		rock-black 7
		wait 750
		rock 4
		wait 0
		rock 5
		repeat 3

		#round

		rock 1
		wait 0
		rock 8
		wait 700
		rock-black 1
		wait 0
		rock-black 7

		#round
		rock 3
		wait 0
		rock 4
		wait 650
		rock 5
		wait 0
		rock 6
		wait 650
		rock 4
		wait 0
		rock 5
		wait 650
		rock 3
		wait 0
		rock 6


		#round
		rock 1
		wait 0
		rock 8
		wait 600
		rock 2
		wait 0
		rock 7
		wait 600
		rock 3
		wait 0
		rock 6
		wait 600
		rock 4
		wait 0
		rock 5
		wait 600
		rock-black 1
		wait 0
		rock-black 2
		wait 0
		rock-black 3
		wait 0
		rock-black 4


		#round
		rock-black 2
		wait 0
		rock 4
		wait 550
		rock-black 4
		wait 0
		rock 6
		wait 550
		rock-black 6
		wait 0
		rock 8
		wait 550
		rock 7
		wait 0
		rock 8
		wait
		balloon-check
range jetz
	round
		rock 4 a4
		wait 3000
		rock 1 a4
		wait 2500

		rock 4 a1
		wait 1500
		rock 4 a8
		wait 1500

		rock
		rock
		wait 3000
		rock
		rock
		wait 3000

		rock
		rock
		wait 1500
		rock
		rock

		wait 3000

		rock 1 a1
		wait 0
		rock 2 a2
		wait 0
		rock 3 a3

		wait 3000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock
		wait 4000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock-avoider 1 a1
		rock-avoider 8 a8
		rock
		wait 3000

		rock
		wait 3000


		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000

		rock-avoider 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-avoider 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-avoider 1 a7


		smokecan
		smokecan

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		rock
		rock

		smokecan
		wait 3000
		smokecan
		smokecan
		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		wait 4000

		rock

		wait 4000

		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider
		wait
		red-avoider

		rock 4 a4
		wait 3000
		rock 1 a4
		wait 2500

		rock 4 a1
		wait 1500
		rock 4 a8
		wait 1500

		rock
		rock
		wait 3000
		rock
		rock
		wait 3000

		rock
		rock
		wait 1500
		rock
		rock

		wait 3000

		rock 1 a1
		wait 0
		rock 2 a2
		wait 0
		rock 3 a3

		wait 3000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock
		wait 4000

		rock-avoider 1 a1
		rock-avoider 8 a8

		wait 3000
		rock-avoider 1 a1
		rock-avoider 8 a8
		rock
		wait 3000

		rock
		wait 3000

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000

		rock-avoider 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-avoider 1 a7

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		rock-avoider 1 a7

		smokecan
		smokecan

		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		rock
		rock

		smokecan
		wait 3000
		smokecan
		smokecan
		rock 8 a8
		wait 0
		rock 7 a7
		wait 0
		rock 6 a6
		wait 1000
		rock-avoider 1 a8
		wait 2000
		rock
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000
		rock
		rock
		wait 2000

		wait 4000

		rock

		wait 4000

		rock-avoider
		wait
		rock-avoider
		wait
		rock-avoider
		wait
		rock-avoider
		wait
		rock-avoider
		wait
		rock-avoider
		wait 4000
		rock
		wait until clear
		repeat 99
range spares
		round
		# MC
		rock 1 a1
		wait 3000
		rock 5 a5
		wait 3000
		rock 4 a4
		wait 3000
		rock 8 b8
		wait 3000

		# space
		balloon a5
		wait 3000


		rock-black 4 c4
		wait 3000

		rock 1 a1
		wait 1000
		rock 2 b2
		wait 2000

		rock 5 a5
		wait 1500
		rock 4 c4
		wait 1500

		rock 4 b4
		wait 1500
		rock 3 a3
		wait 1500

		rock 8 b8
		wait 1000
		rock 7 b7
		wait 2000

		wait 3000







		#####




		# extra



		balloon a2
		balloon b2
		balloon c2
		wait 2200



		#3









		rock 3 a3
		wait 0
		rock 2 a2
		wait 1000
		rock 2 a2
		wait 0
		rock 5 a5
		wait 1000
		rock 5 a5
		wait 0
		rock 7 a7
		wait 1000
		rock 7 a7
		wait 0
		rock 5 a5
		wait 1000
		rock 3 a3
		wait 1000
		rock 2 a2
		wait 400
		rock 3 a3
		wait 400
		rock 2 a2
		wait 400
		rock 7 a7
		wait




		# side to side - singles
		# carry over balloons from last round
		pineapples
		balloon a4
		balloon b4
		balloon c4
		balloon a6
		balloon b6
		balloon c6

		#1

		wait 3000
		rock 2 a6
